run_id,target,k,fault_ddr4_addr,fault_byte_offset,fault_bit,fault_region,timeout,crash,output_anomaly,top1_match,top5_match,baseline_top1,faulty_top1,baseline_prob,faulty_prob,prob_drop,recovered
162,BUFFERS,10,0xaaab23858390,48,4,BUFFERS,0,0,0,0,0,109,431,0.982662,0.999998,-0.017336,0
163,BUFFERS,10,0xaaab23858401,161,4,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
164,BUFFERS,10,0xaaab238584c0,352,6,BUFFERS,0,0,0,1,1,109,109,0.982662,0.989760,-0.007098,0
165,BUFFERS,10,0xaaab238583ea,138,7,BUFFERS,0,0,0,0,0,109,159,0.982662,0.999994,-0.017332,0
166,BUFFERS,10,0xaaab2385838d,45,1,BUFFERS,0,0,0,0,0,109,396,0.982662,0.998039,-0.015378,0
167,BUFFERS,10,0xaaab238584b7,343,7,BUFFERS,0,0,0,0,0,109,678,0.982662,0.715868,0.266794,0
168,BUFFERS,10,0xaaab23858462,258,1,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982293,0.000369,0
169,BUFFERS,10,0xaaab2385852f,463,5,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982194,0.000468,0
170,BUFFERS,10,0xaaab238585b1,593,3,BUFFERS,0,0,0,0,0,109,177,0.982662,0.999995,-0.017333,0
171,BUFFERS,10,0xaaab2385854f,495,7,BUFFERS,0,0,0,0,0,109,495,0.982662,0.999996,-0.017334,0
172,BUFFERS,10,0xaaab238584b7,343,1,BUFFERS,0,0,0,1,1,109,109,0.982662,0.973972,0.008690,0
173,BUFFERS,10,0xaaab23858630,720,6,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982408,0.000254,0
174,BUFFERS,10,0xaaab2385855b,507,6,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982256,0.000406,0
175,BUFFERS,10,0xaaab2385849e,318,5,BUFFERS,0,0,0,0,0,109,377,0.982662,0.495583,0.487079,0
176,BUFFERS,10,0xaaab23858635,725,2,BUFFERS,0,0,0,0,0,109,361,0.982662,0.665235,0.317427,0
177,BUFFERS,10,0xaaab23858362,2,5,BUFFERS,0,0,0,0,0,109,39,0.982662,0.999999,-0.017337,0
178,BUFFERS,10,0xaaab2385839c,60,3,BUFFERS,0,0,0,0,0,109,829,0.982662,0.499997,0.482665,0
179,BUFFERS,10,0xaaab238585e3,643,3,BUFFERS,0,0,0,0,0,109,842,0.982662,0.999998,-0.017336,0
180,BUFFERS,10,0xaaab23858400,160,7,BUFFERS,0,0,0,0,0,109,626,0.982662,0.927475,0.055187,0
181,BUFFERS,10,0xaaab2385841a,186,5,BUFFERS,0,0,0,0,0,109,476,0.982662,0.999987,-0.017325,0
182,BUFFERS,10,0xaaab23858440,224,7,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982661,0.000000,0
183,BUFFERS,10,0xaaab238584db,379,1,BUFFERS,0,0,0,0,0,109,38,0.982662,0.999994,-0.017332,0
184,BUFFERS,10,0xaaab2385863e,734,3,BUFFERS,0,0,0,1,1,109,109,0.982662,0.990935,-0.008273,0
185,BUFFERS,10,0xaaab238585b3,595,6,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982614,0.000048,0
186,BUFFERS,10,0xaaab2385865e,766,1,BUFFERS,0,0,0,0,0,109,72,0.982662,0.999997,-0.017335,0
187,BUFFERS,10,0xaaab23858712,946,0,BUFFERS,0,0,0,1,1,109,109,0.982662,0.721700,0.260962,0
188,BUFFERS,10,0xaaab238583ab,75,0,BUFFERS,0,0,0,0,0,109,790,0.982662,0.999962,-0.017300,0
189,BUFFERS,10,0xaaab23858463,259,2,BUFFERS,0,0,0,0,0,109,75,0.982662,0.618341,0.364321,0
190,BUFFERS,10,0xaaab2385865a,762,5,BUFFERS,0,0,0,1,1,109,109,0.982662,0.676652,0.306010,0
191,BUFFERS,10,0xaaab23858719,953,6,BUFFERS,0,0,0,0,0,109,953,0.982662,0.737701,0.244961,0
192,BUFFERS,10,0xaaab238586eb,907,5,BUFFERS,0,0,0,0,0,109,566,0.982662,0.880796,0.101866,0
193,BUFFERS,10,0xaaab2385845a,250,1,BUFFERS,0,0,0,0,0,109,880,0.982662,0.777299,0.205363,0
194,BUFFERS,10,0xaaab23858737,983,5,BUFFERS,0,0,0,0,0,109,628,0.982662,0.999986,-0.017324,0
195,BUFFERS,10,0xaaab2385872d,973,5,BUFFERS,0,0,0,1,1,109,109,0.982662,0.990388,-0.007726,0
196,BUFFERS,10,0xaaab23858440,224,5,BUFFERS,0,0,0,1,1,109,109,0.982662,0.838748,0.143914,0
197,BUFFERS,10,0xaaab238583f6,150,0,BUFFERS,0,0,0,0,0,109,962,0.982662,0.622456,0.360206,0
198,BUFFERS,10,0xaaab238585f3,659,6,BUFFERS,0,0,0,0,0,109,891,0.982662,0.999944,-0.017282,0
199,BUFFERS,10,0xaaab2385858a,554,2,BUFFERS,0,0,0,0,0,109,558,0.982662,0.999736,-0.017075,0
200,BUFFERS,10,0xaaab2385861c,700,0,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982407,0.000255,0
201,BUFFERS,10,0xaaab23858393,51,0,BUFFERS,0,0,0,1,1,109,109,0.982662,0.766781,0.215881,0
202,BUFFERS,10,0xaaab23858393,51,5,BUFFERS,0,0,0,0,0,109,927,0.982662,0.731057,0.251605,0
203,BUFFERS,10,0xaaab23858371,17,5,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982303,0.000359,0
204,BUFFERS,10,0xaaab23858726,966,2,BUFFERS,0,0,0,1,1,109,109,0.982662,0.805947,0.176715,0
205,BUFFERS,10,0xaaab2385855b,507,3,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982464,0.000198,0
